CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
70000;Man;IC;8;14;3;Bachelor's
183000;Man;Manager;35;12;25;Bachelor's
36000;Man;IC;8;15;3;Bachelor's
111000;Man;IC;3;13;2;Bachelor's
137000;Man;IC;22;15;17;Master's
174000;Man;IC;12;11;3;Bachelor's
120000;Man;IC;15;23;NA;Bachelor's
86000;Man;IC;5;12;4;Less than bachelor's
45000;Man;IC;5;13;1;Less than bachelor's
85000;Man;IC;18;15;7;Bachelor's
85000;Man;IC;7;13;3;Bachelor's
200000;Man;IC;35;13;30;Master's
85000;Man;IC;18;12;12;Bachelor's
160000;Man;IC;30;30;30;Bachelor's
140000;Man;Manager;14;7;7;Bachelor's
150000;Man;IC;11;12;5;Bachelor's
210000;Man;IC;7;14;7;Master's
192000;Man;IC;16;16;9;Bachelor's
175000;Man;IC;25;18;20;Bachelor's
100000;Man;IC;22;NA;14;Bachelor's
150000;Man;IC;5;13;3;Less than bachelor's
88500;Man;IC;40;10;30;Bachelor's
60000;Man;IC;8;16;4;Bachelor's
102000;Man;IC;10;26;4;Master's
247084;Man;IC;13;17;10;Bachelor's
150000;Man;IC;19;14;13;Bachelor's
100000;Man;IC;17;16;13;Bachelor's
101426;Man;IC;7;16;3;Bachelor's
100000;Man;IC;20;15;10;Less than bachelor's
170000;Man;IC;23;14;13;NA
110000;Man;IC;5;16;1;Bachelor's
96000;Man;Manager;16;14;11;Less than bachelor's
145000;Woman;IC;10;14;3;Bachelor's
200000;Man;IC;10;20;2;PhD
150000;Man;IC;36;14;30;Bachelor's
108000;Woman;Manager;15;20;15;Master's
82500;Man;IC;1;25;1;Master's
75000;Man;IC;15;14;8;Bachelor's
182000;Man;Manager;15;20;15;Bachelor's
130000;Man;IC;20;23;18;NA
130000;Man;IC;25;14;25;Master's
121900;Man;IC;19;10;11;Less than bachelor's
130000;Man;IC;32;9;23;Bachelor's
136200;Man;Manager;19;16;12;Bachelor's
52000;Man;IC;3;25;Less than 1 year;Bachelor's
125000;Man;Manager;7;12;7;Bachelor's
125000;Man;IC;15;12;10;Master's
81000;Man;IC;15;10;9;Master's
69300;Man;IC;12;16;6;Less than bachelor's
72000;Man;Manager;11;12;5;Less than bachelor's
85000;Man;IC;11;14;4;Bachelor's
65500;Man;IC;8;12;7;Bachelor's
100000;Woman;IC;20;12;9;Bachelor's
80000;Man;IC;3;22;2;Bachelor's
60000;Man;IC;6;19;2;NA
100000;Man;IC;14;13;10;Less than bachelor's
120000;Woman;IC;20;15;20;Bachelor's
60000;Man;IC;8;13;Less than 1 year;Bachelor's
42000;Man;IC;2;30;Less than 1 year;Less than bachelor's
100000;Man;IC;5;13;2;Master's
101010;Man;IC;8;20;5;Bachelor's
155000;Man;IC;11;14;8;Bachelor's
85000;Woman;IC;6;13;1;Bachelor's
77000;Man;IC;15;14;15;Bachelor's
110000;Man;IC;11;13;3;Bachelor's
80000;Woman;IC;3;36;3;Master's
92000;Man;IC;43;25;43;Bachelor's
400000;Man;IC;28;7;13;Master's
46000;Man;IC;3;17;1;Less than bachelor's
145000;Man;IC;10;12;Less than 1 year;Bachelor's
68000;Woman;IC;1;15;Less than 1 year;Bachelor's
240000;Man;IC;9;12;7;Bachelor's
176000;Man;IC;26;11;19;Bachelor's
120000;Man;IC;15;14;10;Bachelor's
150000;Man;IC;11;14;8;Bachelor's
103000;Man;IC;35;12;18;Less than bachelor's
180000;Man;IC;12;11;4;Less than bachelor's
84000;Man;IC;20;19;15;Bachelor's
220000;Man;IC;25;8;20;Less than bachelor's
36000;Man;IC;1;17;1;Less than bachelor's
51024;Woman;IC;6;9;3;Bachelor's
75000;Man;IC;20;12;8;Bachelor's
135000;Man;IC;18;13;12;Less than bachelor's
105000;Man;IC;10;12;8;Bachelor's
120000;Man;IC;24;13;22;Bachelor's
220000;Man;IC;20;12;13;Bachelor's
77000;Man;IC;8;14;8;Bachelor's
140000;Man;IC;9;20;7;Master's
120000;Man;Manager;13;18;7;Bachelor's
110000;Man;IC;22;14;11;Bachelor's
149000;Man;IC;27;10;22;Bachelor's
100000;Man;IC;6;31;3;Master's
140000;Woman;IC;9;10;6;Bachelor's
97000;Man;IC;3;11;2;Less than bachelor's
65000;Woman;IC;7;18;2;Bachelor's
130000;Woman;IC;23;20;23;Bachelor's
83734;Man;IC;30;12;22;Bachelor's
88000;Man;IC;12;15;10;Less than bachelor's
180000;Man;Manager;20;14;17;Bachelor's
81588;Man;IC;9;20;5;Bachelor's
140000;Man;IC;10;14;7;Less than bachelor's
56000;Man;IC;11;13;9;Less than bachelor's
360000;Man;IC;24;15;22;Master's
82000;Man;IC;12;12;7;Bachelor's
80000;Woman;IC;22;18;18;Bachelor's
150000;Man;IC;12;13;4;Master's
37000;Woman;IC;6;20;5;Bachelor's
110000;Man;IC;18;10;14;Bachelor's
76000;Man;IC;5;16;3;Bachelor's
100000;Man;IC;12;14;12;Bachelor's
56000;Man;IC;20;14;12;Less than bachelor's
90000;Man;IC;8;17;5;Bachelor's
88000;Man;IC;15;10;4;Less than bachelor's
135000;Man;IC;28;5;10;PhD
60000;Man;IC;15;14;5;Bachelor's
130000;Man;IC;8;19;4;Bachelor's
100000;Man;IC;15;12;7;Bachelor's
152000;Man;IC;23;13;8;Master's
60000;Man;IC;6;8;3;Bachelor's
92400;Man;IC;10;16;10;Bachelor's
95000;Man;IC;12;14;3;Bachelor's
92000;Man;IC;10;15;7;Bachelor's
115000;Man;IC;50;18;50;Master's
45000;Woman;IC;6;9;4;Master's
155000;Man;Manager;32;8;22;Bachelor's
226000;Man;Manager;27;11;18;Master's
80000;Man;IC;7;18;3;Bachelor's
125000;Man;IC;35;15;30;Master's
105000;Man;IC;10;10;8;Bachelor's
125000;Man;Manager;5;10;3;Bachelor's
140000;Man;IC;10;14;10;Bachelor's
